Symbol,Date,Open,High,Low,Close,Adj Close,Volume
WMT,1/3/2022,144,144.789993,143.009995,144.649994,141.830063,6902200
WMT,1/4/2022,144.039993,145.139999,141.759995,142,139.231735,11310000
WMT,1/5/2022,142.850006,145.949997,142.740005,143.919998,141.114304,11806000
WMT,1/6/2022,143.619995,144.639999,142.399994,143.520004,140.722107,7276300
WMT,1/7/2022,143.5,145.360001,142.960007,144.889999,142.065384,6574500
WMT,1/10/2022,145.440002,145.589996,143.119995,144.610001,141.790863,7577200
WMT,1/11/2022,144.210007,144.619995,143.179993,144.199997,141.388855,7222900
WMT,1/12/2022,143.679993,143.960007,143,143.440002,140.643677,6315600
WMT,1/13/2022,143.429993,145.679993,143.110001,145.470001,142.634094,8084200
WMT,1/14/2022,144.220001,146.630005,144.220001,145.059998,142.232086,8955800
WMT,1/18/2022,144.410004,144.699997,142.130005,142.520004,139.741608,7041300
WMT,1/19/2022,142.539993,144.990005,141.919998,143.940002,141.133911,7558000
WMT,1/20/2022,142.350006,144.460007,141.070007,141.220001,138.466949,7462400
WMT,1/21/2022,141.220001,142.259995,140.059998,140.190002,137.457031,9169400
WMT,1/24/2022,139.070007,140.529999,137.309998,140.199997,137.466827,9566400
WMT,1/25/2022,139.990005,140.369995,136.809998,137.149994,134.476273,9826500
WMT,1/26/2022,137.339996,138.789993,135.160004,135.75,133.103577,8728500
WMT,1/27/2022,136.919998,139.080002,135.369995,135.839996,133.191833,9253000
WMT,1/28/2022,136,137.570007,133.949997,137.520004,134.839066,8377300
WMT,1/31/2022,137.089996,140.039993,136.699997,139.809998,137.084427,6731200
WMT,2/1/2022,139.210007,141.149994,138.990005,140.910004,138.162979,6774400
WMT,2/2/2022,141,141.639999,140.149994,140.850006,138.104156,6049900
WMT,2/3/2022,140.259995,141.990005,139.770004,140.990005,138.241425,6913700
WMT,2/4/2022,140.889999,141,138.350006,139.330002,136.6138,7345500
WMT,2/7/2022,140.059998,140.070007,137.610001,137.960007,135.270493,6670100
WMT,2/8/2022,138.320007,139.240005,137.509995,137.990005,135.299927,6486300
WMT,2/9/2022,138.5,138.789993,137.470001,137.690002,135.005768,7157900
WMT,2/10/2022,136.550003,137.009995,135.460007,136.080002,133.427139,9270200
WMT,2/11/2022,136.820007,137.179993,134.169998,135.330002,132.691757,7911100
WMT,2/14/2022,135.330002,135.960007,132.710007,133.949997,131.338669,9787800
WMT,2/15/2022,134.740005,135.669998,133.789993,134.369995,131.750504,7274800
WMT,2/16/2022,134.330002,134.880005,132.699997,133.529999,130.926865,9496900
WMT,2/17/2022,134,139.470001,133.779999,138.880005,136.172577,17943800
WMT,2/18/2022,138.100006,139.589996,137.160004,137.990005,135.299927,10367800
WMT,2/22/2022,137.770004,138.240005,135.940002,136.449997,133.789932,8460300
WMT,2/23/2022,136.860001,137.190002,134.839996,135.050003,132.417221,7010300
WMT,2/24/2022,133.910004,135.009995,132.009995,134.529999,131.907364,10572500
WMT,2/25/2022,134.809998,136.779999,134.089996,136.380005,133.721313,8332600
WMT,2/28/2022,135,136.070007,133.770004,135.160004,132.525085,8762200
WMT,3/1/2022,135.869995,137.889999,135.020004,135.990005,133.338913,8008300
WMT,3/2/2022,135.660004,136.830002,135.179993,136.160004,133.5056,7954600
WMT,3/3/2022,137.289993,140.470001,136.550003,139.289993,136.57457,9961700
WMT,3/4/2022,137.809998,142.940002,137.589996,142.820007,140.035782,11858800
WMT,3/7/2022,141.300003,143.630005,140.449997,141.669998,138.908188,15290000
WMT,3/8/2022,141.5,142.460007,138.580002,138.740005,136.035294,9435200
WMT,3/9/2022,140,140.240005,138.139999,139.460007,136.741272,7374300
WMT,3/10/2022,139.490005,143,139.009995,142.630005,139.849472,9170900
WMT,3/11/2022,142.300003,144.050003,141.880005,142.070007,139.300385,6387400
WMT,3/14/2022,142.020004,144.850006,141.990005,144.050003,141.241791,7548800
WMT,3/15/2022,144.529999,146.149994,143.850006,145.779999,142.938049,7624200
WMT,3/16/2022,145.389999,146.940002,143.699997,145.350006,142.516449,8205300
WMT,3/17/2022,144.449997,145.300003,142.649994,145.009995,142.732971,6341000
